,Unnamed: 0,Name
0,1,Atia Abawi
1,2,Joan Abelove
2,3,Hailey Abbott
3,4,Faridah Àbíké-Íyímídé
4,5,Marguerite Abouet
5,6,Elizabeth Acevedo
6,7,Richard Adams
7,8,Tomi Adeyemi
8,9,Alexandra Adornetto
9,10,Renée Ahdieh
10,11,Melissa Albert
11,12,Becky Albertalli
12,13,Louisa May Alcott
13,14,Lloyd Alexander
14,15,Sherman Alexie
15,16,S.K. Ali
16,17,Isabel Allende
17,18,David Almond
18,19,Elaine M. Alphin
19,20,Adi Alsaid
20,21,Julia Alvarez
21,22,Laurie Halse Anderson
22,23,M. T. Anderson
23,24,Jesse Andrews
24,25,V. C. Andrews
25,26,Josephine Angelini
26,27,Anthony
27,28,Kim Antieau
28,29,Allen Appel
29,30,Jules Archer
30,31,Jennifer Armentrout
31,32,Kelley Armstrong
32,33,Jay Asher
33,34,Amelia Atwater-Rhodes
34,35,Victoria Aveyard
35,36,Edward Irving Wortis
36,37,Nafiza Azad
37,38,Natalie Babbitt
38,39,Helen Bailey
39,40,Catherine Banner
40,41,Leigh Bardugo
41,42,Jennifer Lynn Barnes
42,43,T. A. Barron
43,44,John Barrowman
44,45,Karen Bass
45,46,Cat Bauer
46,47,Joan Bauer
47,48,Michael Gerard Bauer
48,49,L. Frank Baum
49,50,John and Patricia Beatty
50,51,Margaret Bechard
51,52,David Belbin
52,53,Clare Bell
53,54,Robin Benway
54,55,Steve Berman
55,56,Julie Berry
56,57,Chetan Bhagat
57,58,Tanaz Bhathena
58,59,Lisa Jenn Bigelow
59,60,Franny Billingsley
60,61,Holly Black
61,62,Malorie Blackman
62,63,Francesca Lia Block
63,64,Judy Blume
64,65,Gwenda Bond
65,66,Frank Bonham
66,67,Angeline Boulley
67,68,Natasha Bowen
68,69,Tim Bowler
69,70,Akemi Dawn Bowman
70,71,Alexandra Bracken
71,72,Ann Brashares
72,73,Elizabeth J. Braswell
73,74,Libba Bray
74,75,Heather Brewer
75,76,Kate Brian
76,77,Rae Bridgman
77,78,Lauren Brooke
78,79,Kevin Brooks
79,80,Vera Brosgol
80,81,Roseanne A. Brown
81,82,N. M. Browne
82,83,Alyssa Brugman
83,84,Annie Bryant
84,85,Elizabeth C. Bunce
85,86,Eve Bunting
86,87,Melvin Burgess
87,88,Frances Hodgson Burnett
88,89,Niki Burnham
89,90,Candace Bushnell
90,91,Julie Buxbaum
91,92,Meg Cabot
92,93,Rachel Caine
93,94,Deb Caletti
94,95,Kacen Callender
95,96,W. Bruce Cameron
96,97,Orson Scott Card
97,98,Patrick Carman
98,99,Isobelle Carmody
99,100,Ally Carter
100,101,Russell Gordon Carter
101,102,Kristin Cashore
102,103,Kiera Cass
103,104,Cathy Cassidy
104,105,Kristin Cast
105,106,Cecil Castellucci
106,107,Brian Caswell
107,108,Betty Cavanna
108,109,Michael Chabon
109,110,Soman Chainani
110,111,Aidan Chambers
111,112,Stephen Chbosky
112,113,Traci Chee
113,114,Alice Childress
114,115,Cinda Williams Chima
115,116,Mary H.K. Choi
116,117,Roshani Chokshi
117,118,Samuel Youd
118,119,Lucy Christopher
119,120,Sandra Cisneros
120,121,Cassandra Clare
121,122,Terri Clark
122,123,Dhonielle Clayton
123,124,Rosemary Clement-Moore
124,125,Ernest Cline
125,126,Rachel Cohn
126,127,Brock Cole
127,128,Chris Colfer
128,129,Sneed B. Collard III
129,130,Christopher Collier
130,131,Suzanne Collins
131,132,Ying Chang Compestine
132,133,Ally Condie
133,134,Ellen Conford
134,135,Pam Conrad
135,136,Caroline B. Cooney
136,137,Susan Cooper
137,138,Robert Cormier
138,139,Bruce Coville
139,140,John Coy
140,141,Sharon Creech
141,142,Linda Crew
142,143,Cath Crowley
143,144,Chris Crutcher
144,145,Mike Curato
145,146,Jane Louise Curry
146,147,Christopher Paul Curtis
147,148,Karen Cushman
148,149,Leah Cypess
